case_type,issue_type,support_segment,zendesk_tier,channel,sales_territory,billing_region,zendesk_tickets,fin_only_resolved,support_contacts
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Other,UAE,MENA,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Other,UK,UK,3,0,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Other,Unknown,UK,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Other,WW,MENA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Other,WW,Mauritius,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Webform & API,Crypto,Crypto,7,0,7
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Webform & API,EU,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Webform & API,NORAM,Crypto,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Webform & API,NORAM,NORAM,3,0,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Webform & API,NORAM,UK,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Webform & API,UAE,MENA,6,0,6
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Webform & API,UK,UK,4,0,4
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Webform & API,WW,UK,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),Crypto,APAC,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),Crypto,Crypto,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),GCR,APAC,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),Issuing,UK,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),KSA,EEA,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),KSA,MENA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),KSA,Unknown,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),NORAM,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),NORAM,Israel,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),NORAM,NORAM,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),NORAM,UK,4,0,4
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),Northern Europe,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),Singapore/ANZ,APAC,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),Southern Europe,EEA,9,0,9
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),UAE,MENA,12,0,12
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),UK,APAC,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),UK,EEA,5,0,5
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),UK,UK,12,0,12
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),Unknown,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),Unknown,UK,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),WW,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),WW,MENA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),WW,UK,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Merchant),Central Europe,EEA,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Merchant),Crypto,APAC,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Merchant),Crypto,Crypto,16,0,16
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Merchant),GCR,APAC,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Merchant),NORAM,Crypto,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Merchant),NORAM,Israel,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Merchant),NORAM,NORAM,5,0,5
