case_type,issue_type,support_segment,zendesk_tier,channel,sales_territory,billing_region,zendesk_tickets,fin_only_resolved,support_contacts
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),GCR,APAC,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),Issuing,UK,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),KSA,MENA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),KSA,Unknown,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),NORAM,Israel,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),NORAM,UK,3,0,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),Northern Europe,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),Singapore/ANZ,APAC,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),Southern Europe,EEA,5,0,5
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),UAE,MENA,9,0,9
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),UK,EEA,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),UK,UK,7,0,7
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),WW,UK,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Merchant),Central Europe,EEA,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Merchant),Crypto,APAC,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Merchant),Crypto,Crypto,7,0,7
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Merchant),NORAM,Crypto,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Merchant),NORAM,NORAM,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Merchant),NORAM,UK,9,0,9
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Merchant),Northern Europe,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Merchant),Singapore/ANZ,APAC,3,0,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Merchant),Southern Europe,EEA,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Merchant),UAE,MENA,10,0,10
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Merchant),UK,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Merchant),UK,UK,8,0,8
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Merchant),Unknown,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Merchant),Unknown,NORAM,8,0,8
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Fin (Dashboard),Central Europe,EEA,0,1,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Fin (Dashboard),GCR,APAC,0,1,1
