endpoint,field_name,field_location,field_type,required,description
GET /api/internal/clients/{clientId}/members/{userId},userId,path,string,true,
PUT /api/internal/clients/{clientId}/members/{userId},clientId,path,string,true,
PUT /api/internal/clients/{clientId}/members/{userId},userId,path,string,true,
PUT /api/internal/clients/{clientId}/members/{userId},request body,body,PutMemberRequest,false,
DELETE /api/internal/clients/{clientId}/members/{userId},clientId,path,string,true,
DELETE /api/internal/clients/{clientId}/members/{userId},userId,path,string,true,
PUT /api/cat/clients/{clientId}/members/owner,clientId,path,string,true,
PUT /api/cat/clients/{clientId}/members/owner,request body,body,PutOwnerRequest,false,
PUT /api/internal/clients/{clientId}/members/owner,clientId,path,string,true,
PUT /api/internal/clients/{clientId}/members/owner,request body,body,PutOwnerRequest,false,
PUT /api/internal/users/migrate-okta-user-id,request body,body,MigrateOktaUserReferenceRequest,false,
POST /okta-inline-hook,request body,body,OktaInlineHookRequest,false,
GET /.well-known/client-roles,,,,,
GET /.well-known/custom-roles/permissions,,,,,
GET /.well-known/permission-groups,,,,,
GET /api/cat/clients/{clientId}/entities/{entityId}/segments/{segmentId},segmentId,path,string,true,
GET /api/cat/clients/{clientId}/entities/{entityId}/segments/{segmentId},clientId,path,string,true,
GET /api/cat/clients/{clientId}/entities/{entityId}/segments/{segmentId},entityId,path,string,true,
PUT /api/cat/clients/{clientId}/entities/{entityId}/segments/{segmentId},clientId,path,string,true,
PUT /api/cat/clients/{clientId}/entities/{entityId}/segments/{segmentId},entityId,path,string,true,
PUT /api/cat/clients/{clientId}/entities/{entityId}/segments/{segmentId},segmentId,path,string,true,
PUT /api/cat/clients/{clientId}/entities/{entityId}/segments/{segmentId},request body,body,PutSegmentRequest,false,
DELETE /api/cat/clients/{clientId}/entities/{entityId}/segments/{segmentId},segmentId,path,string,true,
DELETE /api/cat/clients/{clientId}/entities/{entityId}/segments/{segmentId},clientId,path,string,true,
DELETE /api/cat/clients/{clientId}/entities/{entityId}/segments/{segmentId},entityId,path,string,true,
GET /api/migration/sso-service-init/mismatches,pageLimit,query,integer,false,
GET /api/migration/sso-service-init/mismatches,pageIndex,query,integer,false,
POST /api/migration/sso-service-init/fix,request body,body,SsoMigrationMismatch,false,
POST /api/mfa/enrollment/enforce,request body,body,MfaEnforcementRequest,false,
POST /api/mfa/enrollment/revert,request body,body,MfaEnforcementRequest,false,
GET /api/mfa/enrollment/progress,clientId,query,string,false,
POST /umt/users/mfa/update-enrollment-hook,request body,body,OktaEventRequest,false,
GET /umt/users/mfa/update-enrollment-hook,,,,,
GET /api/user-entitlements,entity_scope,query,string,false,
GET /api/user-entitlements,email,query,string,false,
DELETE /api/user-entitlements,request body,body,DeleteUserEntitlements,false,
